317,Baptist John’s,St. John the Baptist (Walbrook),STJO4,Agas Map,"Baptist John’s | Church of S. Iohn Baptiſt | pariſh of S, Iohn vppon Walbrooke | S. Iohn vpon Walbrooke | S. Iohns Church vpon Walbrooke | S. Iohns church vpon Walbrooke | S. Iohns Church, vpon Walbrooke | S. Iohns vpon walbrooke | S. Iohns vpon Walbrooke | St. John the Baptist | St. John The Baptist, Walbrook",Churches
318,bar eelmew la,Bartholomew Lane,BART1,Agas Map,bar eelmew la | Barthlemew lane | Bartholemew lane | Bartholomew Lane | Bartholomew lane | Bartlemew Lane | S. Bartilmew lane | St. Bartholomew the Less Lane,Streets
319,Barber Chyrurgians hall,Barbers’ Hall,BARB1,Agas Map,Barber Chyrurgians hall | Barbers Chirurgians Hall | Barbers’ Hall,Halls
322,Barbican,Barbican,BARB2,Agas Map,Barbican | Barbican ſtreete | Barbican ſtréete | Houndes ditch | Hounds ditch | Howndes ditch,Streets
323,Barbican,Barbican (Tower),BARB3,Agas Map,Barbican | Base Court | Brugh-Kening | Burgh Kening | Burgh-Kening | Burhkenning | le Barbycane | Manner of Baſe court | Watch Tower of the citie,Sites
326,Barbican ſtréete,Houndsditch,HOUN1,Agas Map,Barbican ſtréete | Honnsdiche | Honnſdiche | Houndes ditch | Hounds ditch | Houndſditch | Houndsditch | Hounſditch | Howndes ditch | Howndes Ditche | Hownds Ditch | Hownſditch,Streets
327,Baremanelane,St. Swithins Lane,STSW1,Agas Map,Baremanelane | S. Swithens lane | Saint Swithin’s Lane | St Swithens Lane | St. Swithins Lane | St. Swithin’s | St. Swithin’s Church | St. Swithun’s Lane | vicus Sancti Swithuni,Streets
333,Barklies Inne,Barkley’s Inn,BARK1,Agas Map,Barklies Inne,Sites
337,Barnardes Inne,Barnards Inn,BARN1,Agas Map,Barnardes Inne | Barnards Inne | Motworth Inne,Sites
340,Barre,Holborn Bars,HOLB2,Agas Map,Barre | Barres | bars | Bars | Oldboorne conduit,Bars
345,Barres in S. Iohn ſtréete,Smithfield Bars,SMIT5, ,Barres in S. Iohn ſtréete | Barres of West Smithfield | Bars | Smithfield | ſmithfield barres | ſmithfield Barres | Smithfield barres | Smithfield bars,Bars
350,Bars,Aldersgate Bars,ALDG5, ,Bars,Bars
